# Extracted Table 1 from the PDF file using pdftotext. The extract full text file is VoglPaper.txt.
# Command used:
# pdftotext -layout VoglPaper.pdf
Compound            E(s ,a)       E(p,a)            E(s,c)              E(p,c)              E(s*,a)           E(s*,c)
C                  -4.5450       3.8400            -4.5450              3.8400             11.3700           11.3700
Si                 -4.2000       1.7150            -4.2000              1.7150              6.6850            6.6850
Ge                 -5.8800       1.6100            -5.8800              1.6100              6.3900            6.3900
Sn                 -5.6700       1.3300            -5.6700              1.3300              5.9000            5.9000
SiC                -8.4537       2.1234            -4.8463              4.3466              9.6534            9.3166
AlP                -7.8466       1.3169            -1.2534              4.2831              8.7069            7.4231
AlAs               -7.5273       0.9833            -1.1627              3.5867              7.4033            6.7267
AlSb               -6.1714       0.9807            -2.0716              3.0163              6.7607            6.1543
GaP                -8.1124       1.1250            -2.1976              4.1150              8.5150            7.1850
GaAs               -8.3431       1.0414            -2.6569              3.6686              8.5914            6.7386
GaSb               -7.3207       0.8554            -3.8993              2.9146              6.6354            5.9846
InP                -8.5274       0.8735            -1.4826              4.0465              8.2635            7.0665
InAs               -9.5381       0.9099            -2.7219              3.7201              7.4099            6.7401
InSb               -8.0157       0.6738            -3.4643              2.9162              6.4530            5.9362
ZnSe              -11.8383       1.5072              0.0183             5.9928              7.5872            8.9928
ZnTe               -9.8150       1.4834              0.9350             5.2666              7.0834            8.2666

Compound          V(s,s)        V(x,x)       V(x,y)           V(sa,pc)            V(sc,pa)          V(s*a,pc)          V(pa,s*c)
C                -22.7250      3.8400      11.6700            15.2206             15.2206             8.2109             8.2109
Si               -8.3000       1.7150       4.5750             5.7292              5.7292             5.3749             5.3749
Ge               -6.7800       1.6100       4.9000             5.4649              5.4649             5.2191             5.2191
Sn               -5.6700       1.3300       4.0800             4.5116              4.5116             5.8939             5.8939
SiC             -12.4197       3.0380       5.9216             9.4900              9.2007             8.7138             4.4051
AlP              -7.4535       2.3749       4.8378             5.2451              5.2775             5.2508             4.6386
AlAs             -6.6642       1.8780       4.2919             5.1106              5.4965             4.5216             4.9950
AlSb             -5.6440       1.7199       3.6648             4.9121              4.2137             4.3662             3.0739
GaP              -7.4709       2.1516       5.1369             4.2771              6.3190             4.6541             5.0950
GaAs             -6.4513       1.9546       5.0779             4.4800              5.7839             4.8422             4.8077
GaSb             -6.1567       1.5789       4.1285             4.9601              4.6675             4.9895             4.2180
IllP             -5.3614       1.8801       4.2324             2.2265              5.5825             3.4623             4.4814
InAS             -5.6052       1.8398       4.4693             3.0354              5.4389             3.3744             3.9097
InSb             -5.5193       1.4018       3.8761             3.7880              4.5900             3.5666             3.4048
ZllSe            -6.2163       3.0054       5.9942             3.4980              6.3191             2.5891             3.9533
ZnTe             -6.5765       2.7951       5.4670             5.9027              5.8199             1.3196             0.0000
